_key_,_dataset_id_,_seconds_,Z_AB,__file__,_forecast_steps_derived_,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,Z_BA,DeltaZ
GRU|40.0|3.0|60.0|150.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-0.11526106421332712,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,60.0,150.0,64-256:64,256.0,0.3560355190222331,-0.47129658323556023
LSTM|40.0|10.0|60.0|150.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-0.12440621143754253,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,60.0,150.0,64-256:64,256.0,-0.49870678668769336,0.3743005752501508
GRU|100.0|3.0|60.0|20.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.7782711085884051,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,60.0,20.0,16-64:16,8192.0,0.8558588978562665,-0.07758778926786136
GRU|100.0|10.0|60.0|20.0|64-256:64|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.6730751353827572,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,8192.0,1.0869768396162423,-0.41390170423348505
LSTM|100.0|10.0|120.0|20.0|64-256:64|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.6478841182196088,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,120.0,20.0,64-256:64,8192.0,0.36124412238952175,0.28663999583008704
GRU|40.0|10.0|60.0|20.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.14521228481337284,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,60.0,20.0,16-64:16,8192.0,0.33494613184138455,-0.18973384702801172
GRU|40.0|3.0|60.0|20.0|64-256:64|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-0.5811762061951448,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,60.0,20.0,64-256:64,8192.0,0.17374597958505983,-0.7549221857802046
LSTM|40.0|10.0|60.0|20.0|64-256:64|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-1.8803659857147574,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,60.0,20.0,64-256:64,8192.0,-5.182602897584104,3.302236911869347
GRU|40.0|10.0|120.0|20.0|64-256:64|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-0.02897957219552648,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,120.0,20.0,64-256:64,8192.0,0.42796506370812987,-0.45694463590365636
LSTM|40.0|3.0|120.0|20.0|64-256:64|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-1.112875556915316,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,120.0,20.0,64-256:64,8192.0,-0.5118260829518739,-0.601049473963442
GRU|40.0|3.0|120.0|20.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-5.149024393821471,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,120.0,20.0,16-64:16,8192.0,-0.34775063628660485,-4.801273757534866
LSTM|40.0|10.0|120.0|20.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-3.3607949758297986,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,120.0,20.0,16-64:16,8192.0,0.5255635297683382,-3.8863585055981367
LSTM|100.0|10.0|60.0|150.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.8121776588961047,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,60.0,150.0,16-64:16,8192.0,0.2946333267192127,0.517544332176892
GRU|100.0|3.0|120.0|150.0|64-256:64|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.7471178331371375,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,120.0,150.0,64-256:64,8192.0,0.8160598103526756,-0.06894197721553808
LSTM|40.0|3.0|60.0|150.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.30101337614768026,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,60.0,150.0,16-64:16,8192.0,-0.3742821536218357,0.675295529769516
LSTM|100.0|3.0|60.0|150.0|64-256:64|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-0.9153482820392532,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,60.0,150.0,64-256:64,8192.0,0.39291837416317316,-1.3082666562024263
GRU|100.0|10.0|120.0|150.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-1.3487987137143234,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,120.0,150.0,16-64:16,8192.0,-1.550004200366094,0.20120548665177074
LSTM|100.0|3.0|120.0|150.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-2.378132582525946,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,120.0,150.0,16-64:16,8192.0,-2.9450269192419274,0.5668943367159813
LSTM|100.0|3.0|60.0|20.0|16-64:16|8192.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-1.4268336524329628,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,60.0,20.0,16-64:16,8192.0,-1.9385236203042804,0.5116899678713176
