Modelo,Resample (ms),Seconds to predict (s),Forecast steps,Timesteps,Epochs,Units (min-max:step),Batchsize,Feito?,ExpID,__block__,RunOrder
LSTM,40,3.0,75,60,150,64-256:64,2048,OK,E162,40|3.0|LSTM,190
LSTM,40,3.0,75,60,20,32-96:32,1024,OK,E149,40|3.0|LSTM,191
LSTM,40,3.0,75,60,150,64-256:64,512,OK,E160,40|3.0|LSTM,192
LSTM,40,3.0,75,60,20,16-64:16,2048,OK,E147,40|3.0|LSTM,193
LSTM,40,3.0,75,120,150,32-96:32,1024,OK,E176,40|3.0|LSTM,194
LSTM,40,3.0,75,120,20,64-256:64,512,OK,E169,40|3.0|LSTM,195
LSTM,40,3.0,75,120,150,64-256:64,1024,OK,E179,40|3.0|LSTM,196
LSTM,40,3.0,75,120,150,64-256:64,512,OK,E178,40|3.0|LSTM,197
LSTM,40,3.0,75,60,150,16-64:16,2048,OK,E156,40|3.0|LSTM,198
LSTM,40,3.0,75,120,20,64-256:64,1024,OK,E170,40|3.0|LSTM,199
LSTM,40,3.0,75,60,20,32-96:32,512,OK,E148,40|3.0|LSTM,200
LSTM,40,3.0,75,120,20,16-64:16,2048,OK,E165,40|3.0|LSTM,201
LSTM,40,3.0,75,120,150,32-96:32,2048,OK,E177,40|3.0|LSTM,202
LSTM,40,3.0,75,60,150,32-96:32,1024,OK,E158,40|3.0|LSTM,203
LSTM,40,3.0,75,60,150,16-64:16,512,OK,E154,40|3.0|LSTM,204
LSTM,40,3.0,75,120,20,16-64:16,512,OK,E163,40|3.0|LSTM,205
LSTM,40,3.0,75,60,150,32-96:32,512,OK,E157,40|3.0|LSTM,206
LSTM,40,3.0,75,120,20,32-96:32,1024,OK,E167,40|3.0|LSTM,207
LSTM,40,3.0,75,120,20,32-96:32,2048,OK,E168,40|3.0|LSTM,208
LSTM,40,3.0,75,120,150,16-64:16,512,OK,E172,40|3.0|LSTM,209
LSTM,40,3.0,75,120,150,16-64:16,2048,OK,E174,40|3.0|LSTM,210
LSTM,40,3.0,75,60,150,32-96:32,2048,OK,E159,40|3.0|LSTM,211
LSTM,40,3.0,75,120,20,16-64:16,1024,OK,E164,40|3.0|LSTM,212
