_key_,_dataset_id_,_seconds_,Z_1112,__file__,Modelo,group_msec,seconds_ahead,forecast_steps,timesteps_orig,Epochs,units_range,batch_size,Z_1211,DeltaZ
GRU|40|5.0|125|60|150|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,0.06727657062277653,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,5.0,125,60,150,32-96:32,2048,-0.12074465314388085,0.18802122376665736
LSTM|40|3.0|75|60|150|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.4912188988973927,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,3.0,75,60,150,64-256:64,1024,-0.1673066325199535,-0.3239122663774392
GRU|40|3.0|75|60|20|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.5372561569143105,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,60,20,16-64:16,1024,0.36187113197451076,-0.8991272888888213
GRU|100|5.0|50|60|150|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,0.016087763215291963,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,60,150,32-96:32,1024,-0.3779614885184075,0.3940492517336995
GRU|100|5.0|50|60|150|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.005070055687728007,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,60,150,16-64:16,512,0.13680562532920545,-0.14187568101693346
LSTM|40|5.0|125|120|20|16-64:16|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.029040992330399164,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,5.0,125,120,20,16-64:16,2048,-6.696090189167005,6.667049196836605
LSTM|100|5.0|50|120|150|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.03619271258920023,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,150,64-256:64,512,0.28867070034062914,-0.32486341292982934
GRU|40|3.0|75|60|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.5932068593302832,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,60,20,64-256:64,512,0.7255715168457548,-1.3187783761760379
LSTM|100|3.0|30|60|150|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.5942550044686294,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,60,150,32-96:32,1024,0.6370330754184578,-1.2312880798870873
GRU|100|3.0|30|120|150|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.5984520296861298,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,150,16-64:16,1024,0.6606161705828378,-1.2590682002689677
GRU|100|3.0|30|60|150|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.6025232353375907,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,150,16-64:16,512,0.39397204196661884,-0.9964952773042095
LSTM|100|5.0|50|60|150|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.0543528155324354,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,60,150,64-256:64,1024,-0.41697293883201214,0.3626201232995767
LSTM|100|5.0|50|120|150|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.060490304715558336,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,150,32-96:32,1024,0.4686296383690443,-0.5291199430846026
GRU|100|5.0|50|120|150|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.07817542194143456,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,120,150,16-64:16,512,-0.05024986421329471,-0.027925557728139858
LSTM|100|5.0|50|120|20|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.08315666364159968,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,20,32-96:32,2048,-2.60802772858212,2.52487106494052
GRU|40|5.0|125|60|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.08381761996686003,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,5.0,125,60,20,64-256:64,1024,0.28623047160132176,-0.3700480915681818
LSTM|40|3.0|75|120|20|16-64:16|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.6400064687250134,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,3.0,75,120,20,16-64:16,2048,0.2620017124304541,-0.9020081811554675
GRU|40|3.0|75|60|150|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.6873001828275029,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,60,150,64-256:64,1024,-0.8398320079490728,0.15253182512156982
GRU|100|5.0|50|60|150|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.1384817552161544,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,60,150,32-96:32,2048,0.3229869620343025,-0.4614687172504569
GRU|100|5.0|50|120|150|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.13918564101562259,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,120,150,64-256:64,512,0.2901463833165257,-0.4293320243321483
LSTM|40|5.0|125|120|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.14086427272810745,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,5.0,125,120,20,64-256:64,512,-1.723969136537666,1.5831048638095584
LSTM|40|5.0|125|120|20|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.15749018939928294,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,5.0,125,120,20,16-64:16,512,0.46380078015207127,-0.6212909695513542
LSTM|40|5.0|125|120|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.1618555393717224,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,5.0,125,120,20,32-96:32,1024,0.6595279758534031,-0.8213835152251254
LSTM|100|5.0|50|120|150|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.170933248629776,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,150,64-256:64,1024,0.03161034270885339,-0.20254359133862937
GRU|40|3.0|75|120|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.7209990693798515,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,120,20,64-256:64,1024,0.5820462319184608,-1.3030453012983123
GRU|40|5.0|125|60|150|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.19853152947754493,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,5.0,125,60,150,16-64:16,1024,-0.5438006736079926,0.3452691441304476
GRU|40|5.0|125|60|150|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.19930821004889504,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,5.0,125,60,150,64-256:64,1024,-0.4032563681430943,0.20394815809419925
LSTM|40|3.0|75|60|150|16-64:16|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.7480478291321637,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,3.0,75,60,150,16-64:16,2048,0.23761197970124728,-0.985659808833411
LSTM|100|5.0|50|120|150|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,-0.21116597283037317,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,150,32-96:32,512,-0.06338274457256944,-0.1477832282578037
